Designator,Footprint,Quantity,Value,LCSC Part #
A1,LM2596_Step_Down_Module-21.3x43.6mm,1,LM2596_Step_Down_Module,
"C1, C2, C3, C4",C_Disc_D9.0mm_W5.0mm_P7.50mm,4,0.1uF,
"D1, D2, D3, D4",LED_D3.0mm,4,LED,
J1,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Conn_01x04,
J2,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
J5,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"JP2, JP3",PinHeader_1x03_P2.54mm_Vertical,2,Jumper_3_Bridged12,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1.5k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1.2k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,500R,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330R,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,120R,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,10k,
U1,TO-220-3_Vertical,1,LM7805_TO220,
U2,esp32,1,ESP32_NODEMCU,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U4,PinSocket_1x04_P2.54mm_Vertical,1,SN65HVD230-Module,
U5,PinSocket_1x06_P2.54mm_Horizontal,1,SD-Card-Module,
