Designator,Mid X,Mid Y,Rotation,Layer
A1,189.9622,-71.8716,0.0,top
C1,108.8702,-89.535,0.0,top
C2,108.906,-97.917,0.0,top
C3,108.8552,-106.0958,0.0,top
C4,97.8316,-106.0958,0.0,top
D1,82.5767,-110.8611,0.0,top
D2,82.5767,-115.4331,0.0,top
D3,82.5767,-120.0051,0.0,top
D4,82.5767,-124.5771,0.0,top
J1,79.4572,-74.7086,270.0,top
J2,80.4222,-101.2186,0.0,top
J3,89.9722,-74.2946,90.0,top
J4,204.0942,-118.8376,0.0,top
J5,179.3552,-115.4426,90.0,top
JP1,88.5502,-82.4176,180.0,top
JP2,107.6002,-79.8976,180.0,top
JP3,113.6142,-79.8726,180.0,top
R1,88.9217,-110.8611,180.0,top
R2,88.9217,-115.4331,180.0,top
R3,88.9217,-120.0051,180.0,top
R4,88.9217,-124.5771,180.0,top
R5,98.7102,-83.6926,180.0,top
R6,117.2972,-77.3176,270.0,top
U1,93.98,-94.29,180.0,top
U2,134.3782,-90.0426,90.0,top
U3,98.7752,-77.9776,90.0,top
U4,156.4032,-67.0556,90.0,top
U5,171.2272,-97.0276,180.0,top
